departement,nom,wiki_fr,wiki_en,image,type_lait,type_fromage
Réunion,Délice de la Sicalait,http://fr.wikipedia.org/wiki/D%C3%A9lice_de_la_Sicalait,,,Vache,soft-ripened-cheese
Val-de-Marne,Délice de Saint-Cyr,http://fr.wikipedia.org/wiki/D%C3%A9lice_de_Saint-Cyr,,,Vache,soft-ripened-cheese
Ain,Emmental de Savoie,http://fr.wikipedia.org/wiki/Emmental_de_Savoie,,,Vache,cooked-pressed-cheese
Savoie,Emmental de Savoie,http://fr.wikipedia.org/wiki/Emmental_de_Savoie,,,Vache,cooked-pressed-cheese
Côte-d'Or,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,http://en.wikipedia.org/wiki/%C3%89poisses_de_Bourgogne,,Vache,rind-washed-cheese
Yonne,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,http://en.wikipedia.org/wiki/%C3%89poisses_de_Bourgogne,,Vache,rind-washed-cheese
Haute-Marne,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,http://en.wikipedia.org/wiki/%C3%89poisses_de_Bourgogne,,Vache,rind-washed-cheese
Pyrénées-Atlantiques,Etorki,http://fr.wikipedia.org/wiki/Etorki,http://en.wikipedia.org/wiki/Etorki,,Brebis,uncooked-pressed-cheese
Cher,Faisselle,http://fr.wikipedia.org/wiki/Faisselle,,,Vache,fresh-cheese
Seine-et-Marne,Fontainebleau,http://fr.wikipedia.org/wiki/Fontainebleau_%28dessert%29,,,Vache,fresh-cheese
Pas-de-Calais,Fort de Béthune,http://fr.wikipedia.org/wiki/Fort_de_B%C3%A9thune,,,Vache,mixed-cheese
Drôme,Foudjou,http://fr.wikipedia.org/wiki/Foudjou,,,Chèvre,mixed-cheese
Orne,Fourmagée,http://fr.wikipedia.org/wiki/Fourmag%C3%A9e,,,Vache,mixed-cheese
Puy-de-Dôme,Fourme d'Ambert,http://fr.wikipedia.org/wiki/Fourme_d%27Ambert,http://en.wikipedia.org/wiki/Fourme_d%27Ambert,,Vache,blue-cheese
Loire,Fourme de Montbrison,http://fr.wikipedia.org/wiki/Fourme_de_Montbrison,http://en.wikipedia.org/wiki/Fourme_de_Montbrison,,Vache,blue-cheese
Puy-de-Dôme,Fourme de Montbrison,http://fr.wikipedia.org/wiki/Fourme_de_Montbrison,http://en.wikipedia.org/wiki/Fourme_de_Montbrison,,Vache,blue-cheese
Puy-de-Dôme,Fourme de Rochefort-Montagne,http://fr.wikipedia.org/wiki/Fourme_de_Rochefort-Montagne,,,Vache,uncooked-pressed-cheese
Loiret,Frinault,http://fr.wikipedia.org/wiki/Frinault,,,Vache,soft-ripened-cheese
Haute-Loire,Fromage aux artisons,http://fr.wikipedia.org/wiki/Fromage_aux_artisons,,,Vache,soft-ripened-cheese
Savoie,Fromage aux noix,http://fr.wikipedia.org/wiki/Fromage_aux_noix,,,Vache,mixed-cheese
Cantal,Fromage de Pays,http://fr.wikipedia.org/wiki/Fromage_de_Pays,,,Vache,blue-cheese
Réunion,Fromage des Plaines,http://fr.wikipedia.org/wiki/Fromage_des_Plaines,,,Vache,fresh-cheese
Loire,Fromager d'Affinois,http://fr.wikipedia.org/wiki/Fromager_d%27Affinois,http://en.wikipedia.org/wiki/Fromager_d%27Affinois,,Vache,soft-ripened-cheese
Aveyron,Gabriel Coulet,http://fr.wikipedia.org/wiki/Gabriel_Coulet_%28marque%29,,,Brebis,blue-cheese
Puy-de-Dôme,Gaperon,http://fr.wikipedia.org/wiki/Gaperon,http://en.wikipedia.org/wiki/Gaperon,,Vache,soft-ripened-cheese
Pyrénées-Atlantiques,Gaztanbera,http://fr.wikipedia.org/wiki/Gaztanbera,,,Brebis,fresh-cheese
Loire-Atlantique,Gourmelin,http://fr.wikipedia.org/wiki/Gourmelin_%28fromage%29,,,Vache,rind-washed-cheese
Allier,Grand tomachon,http://fr.wikipedia.org/wiki/Grand_tomachon,,,Vache,uncooked-pressed-cheese
Savoie,Grataron du Beaufortain,http://fr.wikipedia.org/wiki/Grataron_du_Beaufortain,,,Chèvre,rind-washed-cheese
Seine-et-Marne,Gratte-Paille,http://fr.wikipedia.org/wiki/Gratte-Paille,,,Vache,soft-ripened-cheese
Territoire de Belfort,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,,Vache,cooked-pressed-cheese
Haute-Saône,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,,Vache,cooked-pressed-cheese
Saône-et-Loire,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,,Vache,cooked-pressed-cheese
Vosges,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,,Vache,cooked-pressed-cheese
Savoie,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,,Vache,cooked-pressed-cheese
Haute-Marne,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,,Vache,cooked-pressed-cheese
Côte-d'Or,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,,Vache,cooked-pressed-cheese
Isère,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,,Vache,cooked-pressed-cheese
Doubs,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,,Vache,cooked-pressed-cheese
Jura,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,,Vache,cooked-pressed-cheese
Ain,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,,Vache,cooked-pressed-cheese
