departement,nom,wiki_fr,wiki_en,image,type_lait,type_fromage
Manche,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,,Vache,rind-washed-cheese
Calvados,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,,Vache,rind-washed-cheese
Orne,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,,Vache,rind-washed-cheese
Mayenne,Port-Salut,http://fr.wikipedia.org/wiki/Port-Salut_%28marque%29,http://en.wikipedia.org/wiki/Port_Salut,,Vache,uncooked-pressed-cheese
Indre,Pouligny-saint-pierre,http://fr.wikipedia.org/wiki/Pouligny-saint-pierre_%28fromage%29,http://en.wikipedia.org/wiki/Pouligny-Saint-Pierre_cheese,,Chèvre,soft-ripened-cheese
Ain,Pourri bressan,http://fr.wikipedia.org/wiki/Pourri_bressan,,,Vache,mixed-cheese
Savoie,Raclette,http://fr.wikipedia.org/wiki/Raclette,http://en.wikipedia.org/wiki/Raclette,,Vache,cooked-pressed-cheese
Ain,Ramequin,http://fr.wikipedia.org/wiki/Ramequin_%28fromage%29,,,Vache,rind-washed-cheese
Lozère,Rebarbe,http://fr.wikipedia.org/wiki/Rebarbe,,,Brebis,stretched-curd-cheese
Aveyron,Rebarbe,http://fr.wikipedia.org/wiki/Rebarbe,,,Brebis,mixed-cheese
Savoie,Reblochon,http://fr.wikipedia.org/wiki/Reblochon,http://en.wikipedia.org/wiki/Reblochon,,Vache,uncooked-pressed-cheese
Aveyron,Recuite,http://fr.wikipedia.org/wiki/Recuite,,,Brebis,fresh-cheese
Rhône,Rigotte de Condrieu,http://fr.wikipedia.org/wiki/Rigotte_de_Condrieu,http://en.wikipedia.org/wiki/Rigotte_de_Condrieu,,Chèvre,soft-ripened-cheese
Loire,Rigotte de Condrieu,http://fr.wikipedia.org/wiki/Rigotte_de_Condrieu,http://en.wikipedia.org/wiki/Rigotte_de_Condrieu,,Chèvre,soft-ripened-cheese
Loire,Rigotte de Pélussin,http://fr.wikipedia.org/wiki/Rigotte_de_P%C3%A9lussin,,,Chèvre,soft-ripened-cheese
Lot,Rocamadour,http://fr.wikipedia.org/wiki/Rocamadour_%28fromage%29,http://en.wikipedia.org/wiki/Rocamadour_cheese,,Chèvre,soft-ripened-cheese
Haute-Loire,Rochebaron,http://fr.wikipedia.org/wiki/Rochebaron,http://en.wikipedia.org/wiki/Rochebaron,,Vache,blue-cheese
Ardennes,Rocroi,http://fr.wikipedia.org/wiki/Rocroi_%28fromage%29,,,Vache,soft-ripened-cheese
Ardèche,Rogeret des Cévennes,http://fr.wikipedia.org/wiki/Rogeret_des_C%C3%A9vennes,,,Chèvre,soft-ripened-cheese
Pas-de-Calais,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,,,Vache,rind-washed-cheese
Nord,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,,,Vache,rind-washed-cheese
Somme,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,,,Vache,rind-washed-cheese
Aveyron,Roquefort,http://fr.wikipedia.org/wiki/Roquefort_%28fromage%29,http://en.wikipedia.org/wiki/Roquefort,,Brebis,blue-cheese
Puy-de-Dôme,Roue de Ris,http://fr.wikipedia.org/wiki/Roue_de_Ris,,,Brebis,uncooked-pressed-cheese
Haute-Loire,Saint Agur,http://fr.wikipedia.org/wiki/Saint_Agur,http://en.wikipedia.org/wiki/Saint_Agur_Blue,,Vache,blue-cheese
Pyrénées-Atlantiques,Saint Albray,http://fr.wikipedia.org/wiki/Saint_Albray,http://en.wikipedia.org/wiki/Saint_Albray,,Vache,soft-ripened-cheese
Ardèche,Saint-félicien,http://fr.wikipedia.org/wiki/Saint-f%C3%A9licien_%28fromage_de_l%27Ard%C3%A8che%29,,,Vache,soft-ripened-cheese
Yonne,Saint-florentin,http://fr.wikipedia.org/wiki/Saint-florentin_%28fromage%29,,,Vache,rind-washed-cheese
Loire-Atlantique,Saint-gildas-des-bois,http://fr.wikipedia.org/wiki/Saint-gildas-des-bois_%28fromage%29,,,Vache,soft-ripened-cheese
Hautes-Alpes,Saint-laurent,http://fr.wikipedia.org/wiki/Saint-laurent_%28fromage%29,,,Vache,soft-ripened-cheese
Puy-de-Dôme,Saint-nectaire,http://fr.wikipedia.org/wiki/Saint-nectaire_%28fromage%29,http://en.wikipedia.org/wiki/Saint-Nectaire,,Vache,uncooked-pressed-cheese
Cantal,Saint-nectaire,http://fr.wikipedia.org/wiki/Saint-nectaire_%28fromage%29,http://en.wikipedia.org/wiki/Saint-Nectaire,,Vache,uncooked-pressed-cheese
Indre,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,http://en.wikipedia.org/wiki/Sainte-Maure_de_Touraine,,Chèvre,soft-ripened-cheese
Vienne,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,http://en.wikipedia.org/wiki/Sainte-Maure_de_Touraine,,Chèvre,soft-ripened-cheese
Indre-et-Loire,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,http://en.wikipedia.org/wiki/Sainte-Maure_de_Touraine,,Chèvre,soft-ripened-cheese
Loir-et-Cher,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,http://en.wikipedia.org/wiki/Sainte-Maure_de_Touraine,,Chèvre,soft-ripened-cheese
Cantal,Salers,http://fr.wikipedia.org/wiki/Salers_%28fromage%29,http://en.wikipedia.org/wiki/Salers_cheese,,Vache,uncooked-pressed-cheese
Cher,Santranges-sancerre,http://fr.wikipedia.org/wiki/Santranges-sancerre,,,Chèvre,soft-ripened-cheese
Loir-et-Cher,Selles-sur-cher,http://fr.wikipedia.org/wiki/Selles-sur-cher_%28fromage%29,http://en.wikipedia.org/wiki/Selles-sur-Cher_cheese,,Chèvre,soft-ripened-cheese
Aveyron,Société,http://fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_%28marque%29,,,Brebis,blue-cheese
Yonne,Soumaintrain,http://fr.wikipedia.org/wiki/Soumaintrain_%28fromage%29,,,Vache,rind-washed-cheese
Aube,Soumaintrain,http://fr.wikipedia.org/wiki/Soumaintrain_%28fromage%29,,,Vache,rind-washed-cheese
Dordogne,St Môret,http://fr.wikipedia.org/wiki/St_M%C3%B4ret,,,Vache,mixed-cheese
Yonne,Suprême des Ducs,http://fr.wikipedia.org/wiki/Supr%C3%AAme_des_Ducs,,,Vache,soft-ripened-cheese
Nord,T'chiot biloute,http://fr.wikipedia.org/wiki/T%27chiot_biloute,,,Vache,rind-washed-cheese
Réunion,Takamaka,http://fr.wikipedia.org/wiki/Takamaka_%28fromage%29,,,Chèvre,fresh-cheese
Charente,Taupinette,http://fr.wikipedia.org/wiki/Taupinette,,,Chèvre,soft-ripened-cheese
Savoie,Thollon,http://fr.wikipedia.org/wiki/Thollon,,,Vache,blue-cheese
Réunion,Ti frais des Hauts,http://fr.wikipedia.org/wiki/Ti_frais_des_Hauts,,,Vache,fresh-cheese
Savoie,Tignard,http://fr.wikipedia.org/wiki/Tignard,,,"Vache,Chèvre,Brebis",blue-cheese
Nord,Tome de Cambrai,http://fr.wikipedia.org/wiki/Tome_de_Cambrai,,,Vache,uncooked-pressed-cheese
Morbihan,Tome de Rhuys,http://fr.wikipedia.org/wiki/Tome_de_Rhuys,,,Vache,uncooked-pressed-cheese
Savoie,Tome des Bauges,http://fr.wikipedia.org/wiki/Tome_des_Bauges,,,Vache,uncooked-pressed-cheese
Hautes-Alpes,Tome du Champsaur,http://fr.wikipedia.org/wiki/Tome_du_Champsaur,,,Vache,soft-ripened-cheese
Cantal,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,,,Vache,fresh-cheese
Lozère,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,,,Vache,fresh-cheese
Aveyron,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,,,Vache,fresh-cheese
Pyrénées-Atlantiques,Tomette de Brebis,http://fr.wikipedia.org/wiki/Tomette_de_Brebis,,,Brebis,uncooked-pressed-cheese
Oise,Tomme au foin,http://fr.wikipedia.org/wiki/Tomme_au_foin,,,Vache,uncooked-pressed-cheese
Savoie,Tomme blanche,http://fr.wikipedia.org/wiki/Tomme_blanche,,,Vache,soft-ripened-cheese
Savoie,Tomme crayeuse,http://fr.wikipedia.org/wiki/Tomme_crayeuse,,,Vache,uncooked-pressed-cheese
Moselle,Tomme de Gorze,http://fr.wikipedia.org/wiki/Tomme_de_Gorze,,,Vache,cooked-pressed-cheese
Haute-Loire,Tomme de Montagne,http://fr.wikipedia.org/wiki/Tomme_de_Montagne,,,Vache,uncooked-pressed-cheese
Savoie,Tomme de Savoie,http://fr.wikipedia.org/wiki/Tomme_de_Savoie,http://en.wikipedia.org/wiki/Tomme_de_Savoie,,Vache,uncooked-pressed-cheese
Aude,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,,Vache,uncooked-pressed-cheese
Hautes-Pyrénées,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,,Vache,uncooked-pressed-cheese
Haute-Garonne,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,,Vache,uncooked-pressed-cheese
Ariège,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,,Vache,uncooked-pressed-cheese
Pyrénées-Atlantiques,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,,Vache,uncooked-pressed-cheese
Savoie,Tomme forte de Savoie,http://fr.wikipedia.org/wiki/Tomme_forte_de_Savoie,,,Vache,mixed-cheese
Indre,Tournon-saint-pierre,http://fr.wikipedia.org/wiki/Tournon-saint-pierre_%28fromage%29,,,Chèvre,soft-ripened-cheese
Moselle,Tourrée de l'Aubier,http://fr.wikipedia.org/wiki/Tourr%C3%A9e_de_l%27Aubier,,,Vache,soft-ripened-cheese
Ain,Tracle,http://fr.wikipedia.org/wiki/Tracle,,,Vache,mixed-cheese
Dordogne,Trappe Échourgnac,http://fr.wikipedia.org/wiki/Trappe_%C3%89chourgnac,,,Vache,uncooked-pressed-cheese
Pas-de-Calais,Trappiste de Belval,http://fr.wikipedia.org/wiki/Trappiste_de_Belval,,,Vache,cooked-pressed-cheese
Morbihan,Trappiste de Campénéac,http://fr.wikipedia.org/wiki/Trappiste_de_Camp%C3%A9n%C3%A9ac,,,Vache,uncooked-pressed-cheese
Mayenne,Trappiste de Laval,http://fr.wikipedia.org/wiki/Trappiste_de_Laval,,,Vache,rind-washed-cheese
Charente-Maritime,Tricorne de Marans,http://fr.wikipedia.org/wiki/Tricorne_de_Marans,,,Brebis,soft-ripened-cheese
Corrèze,Truffe de Ventadour,http://fr.wikipedia.org/wiki/Truffe_de_Ventadour,,,Chèvre,soft-ripened-cheese
Savoie,Vacherin des Bauges,http://fr.wikipedia.org/wiki/Vacherin_des_Bauges,,,Vache,rind-washed-cheese
Loir-et-Cher,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,http://en.wikipedia.org/wiki/Valen%C3%A7ay_cheese,,Chèvre,soft-ripened-cheese
Cher,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,http://en.wikipedia.org/wiki/Valen%C3%A7ay_cheese,,Chèvre,soft-ripened-cheese
Indre-et-Loire,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,http://en.wikipedia.org/wiki/Valen%C3%A7ay_cheese,,Chèvre,soft-ripened-cheese
Indre,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,http://en.wikipedia.org/wiki/Valen%C3%A7ay_cheese,,Chèvre,soft-ripened-cheese
Pas-de-Calais,Vieux Boulogne,http://fr.wikipedia.org/wiki/Vieux_Boulogne,http://en.wikipedia.org/wiki/Vieux-Boulogne,,Vaches,rind-washed-cheese
Mayenne,Vieux pané,http://fr.wikipedia.org/wiki/Vieux_pan%C3%A9,,,Vache,uncooked-pressed-cheese
Pas-de-Calais,Vieux Samer,http://fr.wikipedia.org/wiki/Vieux_Samer,,,Vache,rind-washed-cheese
Eure-et-Loir,Voves cendré,http://fr.wikipedia.org/wiki/Voves_cendr%C3%A9,,,Vache,soft-ripened-cheese
